address|email|id|image|lat|lon|manager|Name|phone|weekend|working|city
Маршал Тито бр. 107, Берово||4285|https://www.stb.com.mk/media/1019/berovobranch11018_berovo_atm.jpg|41.7077|22.8564||Филијала берово||||Берово
Васко Карангелески бб Реонско пазариште, Битола||4250|https://www.stb.com.mk/media/1020/bitola-reonskopazariste52248_bitola_vero_atm.jpeg|41.027|21.3138||Битола - реонско пазариште||||Битола
ул. Партизанска бб, Битола||4246|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.0246|21.3193||Битола партизанска||||Битола
ул. Карпош, Битола||4247|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.027176|21.340803||Битола - св.тома||||Битола
Широк сокак 62, Битола||4249|https://www.stb.com.mk/media/1021/bitolabranch33789_bitola_shiroksokak_atm.jpeg|41.0273|21.3364||Филијала битола||||Битола
Маршал Тито бр. 85, Богданци||4275|https://www.stb.com.mk/media/1079/no_image.jpg|41.2034|22.5756||Филијала богданци||||Богданци
6 Ноември бр. 42, Валандово||4281|https://www.stb.com.mk/media/1117/valandovobranch29817_valandovo_atm.jpg|41.3169|22.561||Филијала валандово||||Валандово
Благој Ѓорев бр. 33, Велес||4316|https://www.stb.com.mk/media/1119/veles-blagojgjorev1f9ce921bb6e41827efe0db50939c6eb.jpg|41.7172|21.7749||Велес - благој ѓорев||||Велес
Благој Ѓорев бб, Велес||4315|https://www.stb.com.mk/media/1120/veles-novanaselba42ce39d5b281f98d4ac211adcb5a70a9.jpg|41.7153|21.7689||Велес - нова населба||||Велес
ул. Благој Ѓорев бр.166, Велес||4318|https://www.stb.com.mk/media/1079/no_image.jpg|41.7145|21.7658||Жито дооел||||Велес
8-ми Септември бр. 67, Велес||4317|https://www.stb.com.mk/media/1121/velesbranch20d7b7217d925f9da386dfdfd0a1764c.jpg|41.7148|21.784||Филијала велес||||Велес
'Оска - Пром' - Страшо Пинџур бр.3, Виница||4302|https://www.stb.com.mk/media/1125/vinica-oskaprom46465fc223b4e2c01ca71b3df2e60a0d.jpg|41.8862|22.5119||Виница - оска пром||||Виница
Маршал Тито бр. 6, Виница||4301|https://www.stb.com.mk/media/1126/vinicabranch26267d7b72dbf67ce2d3b109790a5214.jpg|41.8824|22.5049||Филијала виница ||||Виница
Гевгелиски партизански одреди зграда 1, влез 16, Гевгелија||4262|https://www.stb.com.mk/media/1039/gevgelija-gevgeliskipartizanskiodredi75809_gevgelija_plostad.jpg|41.1401|22.5042||Гевгелија - гевгелиски партизански одреди||||Гевгелија
ул. Талја Бикова бб, Гевгелија||4259|https://www.stb.com.mk/media/1079/no_image.jpg|41.1432|22.5057||Солун 53 маркет||||Гевгелија
ул. 7-ми Ноември бр 19А, Гевгелија||4261|https://www.stb.com.mk/media/1040/gevgelijabranch4904e739724d6fb6c2fcee594d0f7f0e.jpg|41.1403|22.5016||Филијала гевгелија ||||Гевгелија
Граничен премин Богородица бр.13, Гевгелија||4260|https://www.stb.com.mk/media/1079/no_image.jpg|41.1352|22.5455||Хотел фламинго||||Гевгелија
Борче Јовановски 64, Гостивар||9102||41.792963|20.909741||Гостивар - ризванче 2 аптека||||Гостивар
ул. Борис Кидрич бб, Гостивар||4277|https://www.stb.com.mk/media/1042/gostivar-hipermarketmontenegroc02a0fdc4ec2a1e1383ce1625945c762.jpg|41.8046|20.9142||Гостивар - хипермаркет монтенегро||||Гостивар
Бул. Гоце Делчев||8920||41.796282|20.910522||Гостивар мега трејд||||Делчево
Мајор Чеде Филиповски бр.156, Гостивар||4280||41.792796|20.906503||Филијала гостивар ||||Гостивар
Маршал Тито бр. 24, Градско||4276|https://www.stb.com.mk/media/1046/gradsko611_veles_gradsko.jpg|41.5804|21.9419||Градско||||Градско
ул. 8ми Септември бр.28, Дебар||4258|https://www.stb.com.mk/media/1079/no_image.jpg|41.521141|20.528541||Дебар||||Дебар
Вељко Влаховиќ бр. 146, Дебар||4257|https://www.stb.com.mk/media/1033/debarbranch9b871301b79d9d49ce6c1dbee511d4ae.jpg|41.522|20.5267||Филијала дебар ||||Дебар
Орце Николов бр. 2, Делчево||4307|https://www.stb.com.mk/media/1034/delcevobranch62551_delcevo_atm.jpg|41.9674|22.7746||Филијала делчево||||Делчево
Маршал Тито бр. 20, Демир Капија||4266|https://www.stb.com.mk/media/1036/demirkapija26431_negotino_demir_kapija.jpg|41.4124|22.2413||Демир капија||||Демир Капија
Битолска бр. 52, Демир Хисар||4251|https://www.stb.com.mk/media/1035/demirhisared05aff7f28490973a56b44df636c252.jpg|41.2194|21.204||Демир хисар||||Демир Хисар
Маршал Тито зграда 2, влез 3, приземје, Дојран||4273|https://www.stb.com.mk/media/1105/stardojran30934_stardojran_atm.jpg|41.1848|22.7217||Стар дојран||||Дојран
Б. Петров бр. 8, Злетово||4308|https://www.stb.com.mk/media/1128/zletovo99b5c6f066b70f3e7fac9bfd35b91d90.jpg|41.9882|22.2358||Злетово||||Злетово
Илинденска 105а, Кавадарци||4265|https://www.stb.com.mk/media/1055/kavadarciilindenska32954_kavadarci_ilindenska_105a.jpg|41.4373|22.0106||Кавадарци илинденска||||Кавадарци
ул. Охридска бр.1, Кавадарци||4264|https://www.stb.com.mk/media/1079/no_image.jpg|41.4392|22.0096||Кам||||Кавадарци
Илинденска бр. 1, Кавадарци||4263|https://www.stb.com.mk/media/1054/kavadarcibranch7728_kavadarci_filijala_ilindenska_br_1.jpg|41.4338|22.0117||Филијала кавадарци ||||Кавадарци
Ул. Индустриска бр. 16, Кичево||4271|https://www.stb.com.mk/media/1015/atva-kicevo123f0cfab811309d7752f8a8d6faaf6f.jpg|41.5116|20.9512||Атва - кичево||||Кичево
Ул. Булевар Ослободување бб, Ст. зграда Ложионица, Кичево||4272|https://www.stb.com.mk/media/1056/kicevo-stzgradalozionicaf9cdb68823a8626d282272bef25fac37.jpg|41.5126|20.9542||Кичево - ст. зграда ложионица||||Кичево
Бул. Ослободување бр. 77, Кичево||4270|https://www.stb.com.mk/media/1057/kicevobranch4f55b0ccc9088e038603082faeddfbde.jpg|41.5126|20.954||Филијала кичево ||||Кичево
ул. Никола Карев, Кочани||4303|https://www.stb.com.mk/media/1060/kocani-petrolstationmakpetrolda4a6a902ad6daee8bb19e7ec8352f0c.jpg|41.9138|22.4119||Кочани - бензинска пумпа макпетрол||||Кочани
Маршал Тито бр. 44, Кочани||4304|https://www.stb.com.mk/media/1061/kocanibranche895137e89156172f30e3f542682fc71.jpg|41.9185|22.4105||Филијала кочани ||||Кочани
Гоце Делчев 1, Кратово||4309|https://www.stb.com.mk/media/1062/kratovocadb2fc2047194d40acf9c369ed4e752.jpg|42.0784|22.1757||Кратово||||Кратово
Јоаким Осоговски бр. 183, Крива Паланка||4314|https://www.stb.com.mk/media/1064/krivapalankafilijala8dabdd2322556e1fd5cade57f4aa9359.jpg|42.2057|22.3344||Филијала крива паланкa ||||Крива Паланка
ул. Благој Целев бр. 3, Крушево||4256|https://www.stb.com.mk/media/1065/krusevobranch8247_krusevo_atm.jpg|41.3678|21.2489||Филијала крушево ||||Крушево
ул. 3та Македонска Ударна Бригада бр.36А, Куманово||4311|https://www.stb.com.mk/media/1079/no_image.jpg|42.1325|21.7167||Куманово 2||||Куманово
ул. 'Октомвриска Револуција', Куманово||4312|https://www.stb.com.mk/media/1116/tushmarketkumanovoe552f74fb1ac0ded27e834dad28f51b6.jpg|42.1347|21.729||Туш маркет куманово||||Куманово
Партизанска бр. 2, Куманово||4310|https://www.stb.com.mk/media/1066/kumanovobranch2872d57bd0b5ff585f7a6dfb5becdc12.jpg|42.1357|21.7207||Филијала куманово||||Куманово
ул. Маршал Титo бр. 7, Македонска Каменица||4313|https://www.stb.com.mk/media/1071/makedonskakamenicabranch71086_mak_kamenica_atm.jpg|42.0223|22.5901||Филијала македонска каменица||||Македонска Каменица
ул. Маршал Тито бр. 154, Неготино||4268|https://www.stb.com.mk/media/1077/negotino796b9d8f9a8878b28b701b8859afdd19.jpg|41.4864|22.0913||Неготино||||Неготино
Јане Сандански бр. 2, Неготино||4267|https://www.stb.com.mk/media/1078/negotinobranch72ecaca4fe67ba95ca91dff7497f738d.jpg|41.4838|22.0904||Филијала неготино ||||Неготино
Маршал Тито бр. 49, Ново Село||4274|https://www.stb.com.mk/media/1081/novoselobranch48736_novo_selo_atm.jpg|41.4143|22.8793||Филијала ново село ||||Ново Село
ул. 7-ми Ноември бр.286, Охрид||8982||41.122672|20.810634||Охрид, техномаркет 171||||Охрид
ул. Моша Пијаде бб, Охрид||4241|https://www.stb.com.mk/media/1085/perfumeshopjuvena7b09869e9bbfe37430bd5609648db123.jpg|41.1147|20.8003||Парфимерија јувена||||Охрид
ул. „Гоце Делчев“ бб, Охрид||4240|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.1355|20.7623||Св. еразмо||||Охрид
ул. Кузман Јосифовски Питу бр. 3, Охрид||4238|https://www.stb.com.mk/media/1083/ohridbranchdb612fc6916efb3a764cab0aaa0f9552.jpg|41.1121|20.8022||Филијала охрид ||||Охрид
бул. Туристичка, ламела 3, деловен простор 2, Охрид||4239|https://www.stb.com.mk/media/1082/ohrid-turistickabranch415be83bb629a8e471ceac3fb3cee374.jpg|41.1169|20.8031||Филијала туристичка охрид||||Охрид
ул. Борис Кидрич бр. 6Г, Пехчево||4300|https://www.stb.com.mk/media/1084/pehcevobranch70125_pehcevo_atm.jpg|41.762|22.8853||Филијала пехчево ||||Пехчево
ул. 'Борка Талески' бр. 3, Прилеп||4253|https://www.stb.com.mk/media/1014/apothecaryherbaprilep11786fcd89ead4f656e000b6804afe26.jpg|41.3521|21.562||Аптека херба прилеп||||Прилеп
ул. Леце Котески, Прилеп||4254|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.3437|21.5359||Васидора прилеп||||Прилеп
ул. Кузман Јосифовски  б.б  Прилеп||4255|https://www.stb.com.mk/media/1079/no_image.jpg|41.3505|21.5424||Прилеп точила||||Прилеп
ул. 'Јоска Јорданоски' бр. 1 , Прилеп||4252|https://www.stb.com.mk/media/1088/prilepsub-branchb78593272c421c23fd4b2c8f0564610a.jpg|41.3523|21.5676||Прилеп центар||||Прилеп
ул. Јоаким Стојковски бр. 69, Пробиштип||4306|https://www.stb.com.mk/media/1079/no_image.jpg|41.997|22.1845||Пробиштип||||Пробиштип
ул. Јаким Спиров бр. 3, Пробиштип||4305|https://www.stb.com.mk/media/1089/probistipbranch43965_probistip_filijala.jpg|41.9998|22.1796||Филијала пробиштип ||||Пробиштип
ул. 22 Октомври бр. 42а, Радовиш||4286|https://www.stb.com.mk/media/1093/img_20190530_134253.jpg|41.6372|22.4626||Филијала радовиш ||||Радовиш
ул. Маршал Тито бр. 15, Ресен||4245|https://www.stb.com.mk/media/1096/resenbranch22227_resen_filijala_bankomat.jpg|41.0904|21.0129||Филијала ресен ||||Ресен
ул. Пролетерска, Росоман||4269|https://www.stb.com.mk/media/1097/rosomanadd2ab77963f66786cf56209eed88b66.jpg|41.5166|21.9475||Росоман ||||Росоман
ул. Маршал Тито бр. 1, Свети Николе||4293|https://www.stb.com.mk/media/1110/svetinikolebranch5063b5e9198a2bdf51e97e4adb6614ed.jpg|41.8634|21.9419||Филијала свети николе ||||Свети Николе
Кеј 13-ти Ноември, Скопје||4181|https://www.stb.com.mk/media/1047/i-bankstorebranch4e0657035f06bd9c9c653e836fd6211c.jpg|41.9959|21.4332||I-bank store||||Скопје
бул. Февруарски поход бр.46, Скопје||4195|https://www.stb.com.mk/media/1079/no_image.jpg|41.9827|21.4816||Ramstore ново лисиче||||Скопје
ул. Шекспирова,Скопје||4177|https://www.stb.com.mk/media/1075/markettinexdramski670751fb246a4654929bcf71de4c084f.jpg|42.0024|21.4078||Tинекс - драмски||||Скопје
ул. Никола Карев бр.20, Скопје||4212|https://www.stb.com.mk/media/1025/busstationa582f110454d9e416d8f84f59f2f7c52.jpg|41.991|21.4454||Автобуска станица||||Скопје
Борис Трајковски 1||4191|https://www.stb.com.mk/media/1079/no_image.jpg|41.985479|21.437879||Адора флет ирон||||Скопје
Козле, Скопје||4221|https://www.stb.com.mk/media/1074/makpetrolkozle4d924de893000c598495231093a77b31.jpg|41.9945|21.3959||Бензинска пумпа макпетрол козле||||Скопје
Бул. Јане Сандански 111, Скопје||4218|https://www.stb.com.mk/media/1122/vero1cfea560508b4eac35ce388038c8dd84b.jpg|41.9847|21.4686||Веро 1||||Скопје
ул. Џон Кенеди бб, Скопје||4178|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|42.0142|21.4449||Веро чаир||||Скопје
ул. 100 бр.20В Скопје||4223|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|42.0375|21.3492||Волково||||Скопје
Бул.Крсте Мисирков бб, Скопје||4211|https://www.stb.com.mk/media/1038/facultyofeconomicsukim791135fcb3dec21a0061f9c30545f1e7.jpg|42.0005|21.4433||Економски факултет уким||||Скопје
ул. Филип Филиповиќ бр. 2а||6653|https://www.stb.com.mk/media/1013/amsmbuilding-strugano_image.jpg|42.010788|21.460768||Железара - жито маркет||||Скопје
Бул. Партизански одреди бр.13/1, Скопје||4183|https://www.stb.com.mk/media/1079/no_image.jpg|41.9977|21.4265||Итц травел||||Скопје
ул. 'Аџево' бб, Драчево, Скопје||4200|https://www.stb.com.mk/media/1079/no_image.jpg|41.9398|21.514||Кам маркет драчево||||Скопје
бул. Јане Сандански 71А, Скопје||4192|https://www.stb.com.mk/media/1079/no_image.jpg|41.9859|21.4665||Капитол мол||||Скопје
11 Октомври бр. 25, Скопје||4214|https://www.stb.com.mk/media/1090/qbemacedoniaf7d13ef79e965b5e7242ea65c03eb6c1.jpg|41.9895|21.4363||Кјуби македонија||||Скопје
ТЦ - Лисиче бул. 12-та Македонска бригада бр. 13а||4205|https://www.stb.com.mk/media/1526/atm-novo-lisice-2018.jpg|41.9746|21.4721||Лисиче т.ц.- елида маркет||||Скопје
Ул.”Орце Николов” бр.188, 1000, Скопје||4203|https://www.stb.com.mk/media/1079/no_image.jpg|42.0063|21.4069||Мега фешн - орце николов||||Скопје
Радишанска бр. 4, Скопје||4207|https://www.stb.com.mk/media/1091/radishani1562ad66085b42eb6d67d6e2a72ed04b.jpg|42.0562|21.4515||Радишани||||Скопје
ул.Мито Хаџивасилев бб, ТЦ Рамстор, Скопје||4208|https://www.stb.com.mk/media/1094/ramstoremallc81d496b41fc6e0a5f93f30bafd0a760.jpg|41.9921|21.4268||Рамстор||||Скопје
бул. Даме Груев бр.1, Скопје||4194|https://www.stb.com.mk/media/1079/no_image.jpg|41.9923|21.4339||Рамстор family shop||||Скопје
Љубљанска 4, Скопје||4176|https://www.stb.com.mk/media/1101/skopjecitymall2040bba897320d93051ead7f049509da.jpg|42.0045|21.3915||Скопје сити мол||||Скопје
ул. Првомајска  бр. 66, Скопје||4198|https://www.stb.com.mk/media/1109/supertinexprvomajska9b21ae7682da466a504f6b5ffba2c3ec.jpg|41.9749|21.4534||Супер тинекс првомајска||||Скопје
ул. Московска бр. 22, Скопје||4210|https://www.stb.com.mk/media/1111/taftalidze-spmarket714dc1f5a692186c9d1241d03411db88.jpg|42.001|21.39||Тафталиџе - сп маркет||||Скопје
ул. Перо Наков бр. 108, Скопје||4197|https://www.stb.com.mk/media/1079/no_image.jpg|41.9964|21.4778||Тинекс годел||||Скопје
ул. ”Скупи” бр. 28, Скопје||4188|https://www.stb.com.mk/media/1079/no_image.jpg|42.0138|21.3916||Тинекс злокуќани||||Скопје
Тинекс - Раде Кончар, Скопје||4184|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.9822|21.4531||Тинекс раде кончар||||Скопје
ул. Новопроектирана бб, Скопје||4196|https://www.stb.com.mk/media/1079/no_image.jpg|42.0018|21.3766||Тинекс хром||||Скопје
ул. Ѓорче Петров бр.7, Скопје||4193|https://www.stb.com.mk/media/1079/no_image.jpg|42.0067|21.3615||Тобако - скопје||||Скопје
ул. Васил Ѓоргов бр. 16, Скопје||4185|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.9928|21.4197||Тц зебра||||Скопје
ул. Сарајска бр. 2, Скопје||4187|https://www.stb.com.mk/media/1079/no_image.jpg|42.0036|21.3318||Тц сарај||||Скопје
Јани Лукровски 5, Скопје||4225|https://www.stb.com.mk/media/1016/avtokomandabranch2b2a146ae032dd1de04a522f397480db.jpg|42.003|21.4642||Филијала автокоманда||||Скопје
1000 Скопје, бул. Јане Сандански блок 3, ламела 6||4220|https://www.stb.com.mk/media/1011/aerodrombranch26ed8218ef1a05ad5847b774916625f4.jpg|41.9883|21.4553||Филијала аеродром||||Скопје
Партизанска бр. 70б, Скопје||4175|https://www.stb.com.mk/media/1012/aluminkabranchc186d03e132779e894ee5dd08abd347a.jpg|42.0037|21.3946||Филијала алуминка ||||Скопје
Решад Џафер бр. 13, Скопје||4226|https://www.stb.com.mk/media/1023/bitpazarçranch790b152ba672d7dbb4cb3157e59ce343.jpg|42.0014|21.4396||Филијала бит пазар||||Скопје
Ул. Бутелска бр.4, Скопје||4209|https://www.stb.com.mk/media/1026/butelbranch49320a1b13041c63a1b4a03bfa7279dc.jpg|42.0304|21.4445||Филијала бутел||||Скопје
ТЦ Буњаковец, Партизански одреди бр.17 лок.25, Скопје||4227|https://www.stb.com.mk/media/1024/bunjakovecbranch50b8739c202914d3794fb325c5690cce.jpg|41.999|21.4201||Филијала буњаковец||||Скопје
Бул. Кочо Рацин бр 1, Скопје||4222|https://www.stb.com.mk/media/1123/verocenterbranchbcb4121dc87aca1c49f269a56971ac12.jpg|41.9929|21.4417||Филијала веро центар||||Скопје
Капиштец, Т. Гологанов бр.76, Скопје||4228|https://www.stb.com.mk/media/1124/veropulosbranch18e0e3d6fd1375c52aa12d5f7f61220c.jpg|41.9972|21.4047||Филијала веропулос||||Скопје
Ул. Јадранска Магистрала бр. 114, Скопје||4199|https://www.stb.com.mk/media/1127/vizbegovobranch43d0390dd2f6fd14cbbd587a9c708ddd.jpg|42.0436|21.3914||Филијала визбегово||||Скопје
11 Октомври бр. 7, Скопје||4229|https://www.stb.com.mk/media/1100/shoppingcenter-groundfloorbranchbdf556cd5e953c03edee630f225d6257.jpg|41.995|21.4336||Филијала гтц приземје||||Скопје
Иван Хаџиниколов бр. 95, Драчево, Скопје||4230|https://www.stb.com.mk/media/1037/drachevobranch52738_dracevo_filijala.jpg|41.9388|21.5177||Филијала драчево ||||Скопје
ул. 2, бр. 4, Населба Илинден, Скопје||4213|https://www.stb.com.mk/media/1048/ilindene81bf08f7df4e3b7a3881942bc229d7d.jpg|41.9962|21.57||Филијала илинден ||||Скопје
Народен фронт, ТЦ Беверли Хилс||4232|https://www.stb.com.mk/media/1052/kapishtecbranch895d6cc66d63e30a41fa21468548d371.jpg|41.9939|21.4163||Филијала капиштец ||||Скопје
Божидар Аџија бр. 1, Скопје||4233|https://www.stb.com.mk/media/1058/kiselavodabranch72736_kisela_voda_atm.jpg|41.981|21.4405||Филијала кисела вода ||||Скопје
Мајка Тереза бр. 20, Скопје||4189|https://www.stb.com.mk/media/1059/klinikibranchca7bfb6ba45a47253a6dabcc5cc1d1cb.jpg|41.9902|21.4207||Филијала клиники ||||Скопје
Св. Кирил и Методиј бр. 4, Скопје||4234|https://www.stb.com.mk/media/1072/makpetrolbranch6b7fc8fb009676a73e619a5a2db40b84.jpg|41.9903|21.4316||Филијала макпетрол ||||Скопје
Македонија бр.16, Скопје||4174|https://www.stb.com.mk/media/1070/majkaterezabranch41569706e277f45f79671b7744e827af.jpg|41.994|21.4309||Филијала мајка тереза ||||Скопје
Благоја Стевковски бр. 49, Скопје||4179|https://www.stb.com.mk/media/1069/madzaribranch30146b3333b32a000ee0409872cae6de.jpg|41.996513|21.498542||Филијала маџари||||Скопје
11 Октомври бр.7, Скопје||4182|https://www.stb.com.mk/media/1076/mladinabranch61bb29280fc5549bf77afeef5508bfba.jpg|41.9956|21.4336||Филијала младина||||Скопје
Видое Смилевски Бато бр. 55/1, Скопје||4235|https://www.stb.com.mk/media/1080/novolisicebranchc2f7fdcfc6a29c085cc1f42f93568380.jpg|41.9812|21.4753||Филијала ново лисиче ||||Скопје
Ѓ. Петров бр.1 згр.Б1 влез 1 лок 12, Скопје||4236|https://www.stb.com.mk/media/1087/portavlaebranch862cbedac4d538524971dfdb4496a081.jpg|42.008|21.3686||Филијала порта влае ||||Скопје
Христо Татарчев бр.43 А локал 12  и локал  13||4202|https://www.stb.com.mk/media/1079/no_image.jpg|41.9758|21.4435||Филијала расадник ||||Скопје
Ул. 1613 бр.2||4201|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.9812|21.4706||Филијала реонски центар аеродром ||||Скопје
ТЦ Васил Главинов бб, Скопје||4237|https://www.stb.com.mk/media/1115/topanskopolebranch42689_topansko_pole_atm.jpg|42.0171|21.4341||Филијала топанско поле||||Скопје
Антон Попов бр. 1, Скопје||4190|https://www.stb.com.mk/media/1142/crnicebranch355a9c3e107269d2996a306ec902b98e.jpg|41.9877|21.4327||Филијала црниче ||||Скопје
Христијан Тодоровски Карпош бр. 5, Скопје||4216|https://www.stb.com.mk/media/1029/chairbranch9cd2d4c6bb41faab06d8e2a437988c5b.jpg|42.0206|21.448||Филијала чаир||||Скопје
Јужноморавски бригади бр. 3, Скопје||4217|https://www.stb.com.mk/media/1030/chentobranchaf229a51ecf32dc2335d42997c84aa00.jpg|42.0065|21.5025||Филијала ченто||||Скопје
Ѓорче Петров бр. 54||4224|https://www.stb.com.mk/media/1041/gjorcepetrovbranch4151_gjorce_atm.jpg|42.0069|21.3592||Филијала ѓорче петров ||||Скопје
Бул. Јане Сандански бр. 24||4231|https://www.stb.com.mk/media/1050/janesandanskiçranchaeb76f58e4e991c9c8dd623967f83d8d.jpg|41.9865|21.4637||Филијала јане сандански ||||Скопје
ул. Гоце Делчев бб, Скопје||4186|https://www.stb.com.mk/media/1098/seeuniversityskopje9c0bad304520ea6bbdbed7e569b42c5b.jpg|42.0005|21.4369||Штулов универзитет скопје||||Скопје
ул. Пролетерски Бригади бб, Струга||4242|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.1815|20.6761||Амсм зграда - струга||||Струга
Кеј 8-ми Ноември бб, Струга||4243|https://www.stb.com.mk/media/1079/no_image.jpg|41.1805|20.6781||Тинекс ||||Струга
Маршал Тито бр. 54, Струга||4244|https://www.stb.com.mk/media/1107/strugabranch57bb3cbdcca32a9ee121d9288179c0c4.jpg|41.1778|20.6758||Филијала струга||||Струга
Гоце Делчев, Струмица||4283|https://www.stb.com.mk/media/1063/krismeldoo-strumicadbb17d7c1c10d9cc24c732501c27a33c.jpg|41.4382|22.6457||Крисмел доо - струмица||||Струмица
ул. Ленинова бр.1, Струмица||4284|https://www.stb.com.mk/media/1079/no_image.jpg|41.4391|22.632||Тц глобал||||Струмица
Ленинова бр. 19, Струмица||4282|https://www.stb.com.mk/media/1108/strumicabranchdfc07eb738013047e7fa9005edee4e08.jpg|41.4394|22.6386||Филијала струмица ||||Струмица
ул. Илинденска бб, Тетово||4298|https://www.stb.com.mk/media/1018/bedzeticompany-tetovocb6acf18af68148b02660b0239129513.jpg|41.9902|20.9594||Беџети компани - тетово||||Тетово
Бул. Србија||4299|https://www.stb.com.mk/media/1032/dautikomerc-tetovo5a11b6064035d22d9fca30dad15a20b5.jpg|41.999003|20.958311||Тетово веро||||Тетово
ул. Скопски Пат бр. 8  Тетово||4297|https://www.stb.com.mk/media/1102/smpalmamalltetovo0cb3ed46ebef7ce9d3bacdb0676fcdc9.jpg|42.004|20.9895||Тц палма мол тетово||||Тетово
Бул. Илирија бр. 32, Тетово||4294|https://www.stb.com.mk/media/1112/tetovobranch7ebe2dab92667b2d8285dd232b74a898.jpg|42.0086|20.9726||Филијала тетово ||||Тетово
29 Ноември бр.1 Тетово||4295|https://www.stb.com.mk/media/1113/tetovosub-branch417e0af7e08de44353a73463d18b3178.jpg|42.0063|20.9702||Филијала тетово нова ||||Тетово
ул. 113 бр.3 Тетово||11064||41.999192|20.956179||Веро џамбо тетово||||Тетово
ул. 101 бр.100 Боговиње||11065||41.918805|20.913031||Боговиње тетово||||Боговиње
ул. Сутјеска бб, Штип||4289|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.7419|22.1981||Градски пазар - штип||||Штип
Лески бр. 80, Штип||4288|https://www.stb.com.mk/media/1017/babi5region-stip61250_naselba_babi_stip.jpg|41.7583|22.2033||Населба 'баби 5' - штип||||Штип
ул. Борис Крајгер бб, Штип||4290|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.7501|22.2002||Сењак - штип||||Штип
ул. Автокоманда бр.1 Штип||4291|https://www.stb.com.mk/media/1079/no_image.jpg|41.7442|22.1976||Туш маркет||||Штип
Јосиф Ковачев бр. 8, Штип||4292|https://www.stb.com.mk/media/1106/stipbranch39137_shtip_filijala.jpg|41.7381|22.1949||Филијала штип||||Штип
